episode_id,window_id,true_break_event_id,sweep_event_id,timestamp,direction,side,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,regime_changed_sweep_to_break,direction_trend_aligned_at_break,regime_category_same_sweep_to_break,plus1r_before_minus1r,continuation_1atr_before_failure,retest_outcome,period
Equal-High_2025.05.02 15:00__ep1,wA,85,80,2025-05-02 16:00:00,SELL,Equal-High,PERIOD_H1,STRONG_TREND,UP,10.80857,130.1,0.12036744916302526,0.011733561691773746,PERIOD_M15,RANGING,UP,True,False,False,PLUS_1R_FIRST,CONTINUATION_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.05.06 17:10__ep1,wA,218,217,2025-05-06 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,84.97,637.2,0.07499117335530188,0.06495575903849238,PERIOD_M5,WEAK_TREND,UP,True,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.05.06 19:10__ep1,wA,224,223,2025-05-06 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,84.97,642.9,0.07566199835235966,0.04261850668597852,PERIOD_M5,STRONG_TREND,UP,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-Low_2025.05.07 16:25__ep1,wA,255,254,2025-05-07 00:00:00,BUY,Equal-Low,PERIOD_D1,STRONG_TREND,UP,91.30071,463.8,0.05079916684109029,0.051505765052260385,PERIOD_M5,WEAK_TREND,UP,True,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-Low_2025.05.07 18:10__ep1,wA,260,259,2025-05-07 00:00:00,BUY,Equal-Low,PERIOD_D1,STRONG_TREND,UP,91.30071,459.7,0.05035010132998966,0.05334851509981945,PERIOD_M5,RANGING,UP,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.05.08 07:00__ep3,wA,294,292,2025-05-08 09:00:00,SELL,Equal-High,PERIOD_H1,WEAK_TREND,DOWN,15.24571,427.5,0.28040675048915403,0.1105988749805211,PERIOD_H1,WEAK_TREND,DOWN,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.05.30__ep6,wA,1074,1072,2025-05-30 15:30:00,BUY,Asia-Low,PERIOD_M30,RANGING,DOWN,8.77357,111.4,0.12697225872706325,0.22648092966220917,PERIOD_M15,WEAK_TREND,UP,True,False,False,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Weekly-High_2025.05.25__ep45,wA,1401,1398,2025-06-06 16:45:00,SELL,Weekly-High,PERIOD_M15,WEAK_TREND,DOWN,6.90429,98.8,0.1430994352786456,0.036377128971473056,PERIOD_H1,RANGING,UP,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-Low_2025.06.19__ep16,wA,1873,1872,2025-06-20 16:45:00,BUY,Daily-Low,PERIOD_M15,WEAK_TREND,UP,4.98714,166.3,0.3334576530837314,0.15050900548159749,PERIOD_M30,WEAK_TREND,UP,False,True,True,PLUS_1R_FIRST,CONTINUATION_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.06.25__ep5,wA,1999,1998,2025-06-25 18:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,7.51857,19.9,0.026467799062853705,0.026467799062853705,PERIOD_H1,WEAK_TREND,UP,False,True,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
